Date ,Time ,Open ,High,Low ,Close ,Volume
2022.07.11,0:00,0.8462,0.84667,0.84525,0.84548,7984
2022.07.11,4:00,0.84549,0.84685,0.84546,0.84665,9428
2022.07.11,8:00,0.84666,0.84717,0.84495,0.84547,17755
2022.07.11,12:00,0.84548,0.84721,0.84451,0.84539,21360
2022.07.11,16:00,0.84541,0.84886,0.84491,0.84678,29907
2022.07.11,20:00,0.84679,0.84684,0.84402,0.84409,13139
2022.07.12,0:00,0.84401,0.84477,0.84387,0.8441,7812
2022.07.12,4:00,0.84411,0.84441,0.84317,0.84401,13333
2022.07.12,8:00,0.844,0.8471,0.84356,0.84604,24410
2022.07.12,12:00,0.84607,0.84833,0.84531,0.84759,25254
2022.07.12,16:00,0.84758,0.84763,0.8446,0.84467,27212
2022.07.12,20:00,0.84468,0.84527,0.84368,0.84402,12961
2022.07.13,0:00,0.844,0.84456,0.84358,0.84423,6813
2022.07.13,4:00,0.84424,0.84465,0.8425,0.84311,10665
2022.07.13,8:00,0.8431,0.84413,0.84019,0.84397,21192
2022.07.13,12:00,0.84399,0.84556,0.84256,0.84507,28369
2022.07.13,16:00,0.84509,0.8467,0.8438,0.84561,40147
2022.07.13,20:00,0.84562,0.84601,0.84486,0.84593,17296
2022.07.14,0:00,0.84568,0.84628,0.84502,0.84504,8168
2022.07.14,4:00,0.84505,0.8453,0.84395,0.84491,10696
2022.07.14,8:00,0.84492,0.84663,0.84465,0.84601,23481
2022.07.14,12:00,0.84603,0.84705,0.84527,0.84664,25459
2022.07.14,16:00,0.84666,0.84975,0.84463,0.84799,40562
2022.07.14,20:00,0.84802,0.84888,0.84627,0.84705,17979
2022.07.15,0:00,0.84711,0.84753,0.84644,0.84702,6480
2022.07.15,4:00,0.847,0.84786,0.84636,0.84768,8105
2022.07.15,8:00,0.84767,0.84829,0.84671,0.848,19493
2022.07.15,12:00,0.84802,0.85125,0.84748,0.85012,24001
2022.07.15,16:00,0.8501,0.85102,0.8487,0.85024,28338
2022.07.15,20:00,0.85022,0.85068,0.84937,0.84999,8973
2022.07.18,0:00,0.84972,0.85002,0.84903,0.84917,6685
2022.07.18,4:00,0.84915,0.8496,0.84873,0.84886,9135
2022.07.18,8:00,0.84885,0.85039,0.84769,0.8479,18062
2022.07.18,12:00,0.84791,0.84882,0.84594,0.84605,20204
2022.07.18,16:00,0.84606,0.84885,0.84565,0.84879,22869
2022.07.18,20:00,0.84878,0.8495,0.84829,0.84844,11727
2022.07.19,0:00,0.84846,0.84914,0.84807,0.84851,6396
2022.07.19,4:00,0.84849,0.849,0.84758,0.84773,8065
2022.07.19,8:00,0.84772,0.85294,0.84758,0.85208,24125
2022.07.19,12:00,0.85209,0.85385,0.85127,0.85147,24203
2022.07.19,16:00,0.85148,0.85322,0.85091,0.8527,28722
2022.07.19,20:00,0.85269,0.85329,0.85172,0.85241,12926
2022.07.20,0:00,0.85245,0.85279,0.85191,0.8526,9206
2022.07.20,4:00,0.85259,0.85267,0.85107,0.8514,6718
2022.07.20,8:00,0.85141,0.85395,0.85079,0.8522,20240
2022.07.20,12:00,0.85216,0.85261,0.84992,0.85197,26581
2022.07.20,16:00,0.85198,0.85338,0.85041,0.85107,28356
2022.07.20,20:00,0.85108,0.85111,0.84918,0.84988,14708
2022.07.21,0:00,0.84962,0.85147,0.84935,0.8511,6603
2022.07.21,4:00,0.85111,0.85239,0.85038,0.85185,8859
2022.07.21,8:00,0.85186,0.85392,0.85106,0.85348,22861
2022.07.21,12:00,0.85349,0.85855,0.85121,0.85637,29331
2022.07.21,16:00,0.85636,0.85701,0.85137,0.85179,36184
2022.07.21,20:00,0.85177,0.85292,0.85074,0.85235,14135
2022.07.22,0:00,0.85241,0.85326,0.85117,0.85117,8453
2022.07.22,4:00,0.85116,0.85183,0.85086,0.85137,8061
2022.07.22,8:00,0.85138,0.85223,0.84888,0.8491,22498
2022.07.22,12:00,0.84911,0.85201,0.84857,0.85178,25401
2022.07.22,16:00,0.85177,0.85201,0.84938,0.85098,28818
2022.07.22,20:00,0.85099,0.85184,0.85038,0.85041,18313
2022.07.25,0:00,0.85122,0.8514,0.85013,0.85104,5857
2022.07.25,4:00,0.85103,0.85179,0.85068,0.85173,8074
2022.07.25,8:00,0.85174,0.85235,0.84948,0.84978,18389
2022.07.25,12:00,0.84979,0.85116,0.84776,0.84869,18882
2022.07.25,16:00,0.84867,0.84931,0.84741,0.84804,21296
2022.07.25,20:00,0.84803,0.84854,0.8477,0.84854,9675
2022.07.26,0:00,0.84846,0.8487,0.8477,0.84821,7090
2022.07.26,4:00,0.84822,0.8485,0.84714,0.84758,7447
2022.07.26,8:00,0.84756,0.84906,0.84714,0.84814,15312
2022.07.26,12:00,0.84813,0.84845,0.84506,0.84539,19054
2022.07.26,16:00,0.84538,0.84542,0.84033,0.84204,27560
2022.07.26,20:00,0.84205,0.84218,0.84063,0.84095,11962
2022.07.27,0:00,0.84106,0.84176,0.84075,0.84176,6189
2022.07.27,4:00,0.84177,0.84226,0.84139,0.84161,7558
2022.07.27,8:00,0.84159,0.8421,0.84037,0.84083,15987
2022.07.27,12:00,0.84084,0.84249,0.83968,0.84181,18894
2022.07.27,16:00,0.84182,0.84247,0.83909,0.83977,23642
2022.07.27,20:00,0.83978,0.84165,0.83747,0.83884,26980
2022.07.28,0:00,0.83903,0.83976,0.83824,0.83837,9083
2022.07.28,4:00,0.83839,0.83991,0.83799,0.83891,8689
2022.07.28,8:00,0.83892,0.84024,0.83678,0.83826,18539
2022.07.28,12:00,0.83825,0.83862,0.83447,0.83714,26600
2022.07.28,16:00,0.83716,0.83904,0.83539,0.83726,27207
2022.07.28,20:00,0.83727,0.83777,0.83653,0.8371,10595
2022.07.29,0:00,0.83718,0.83785,0.83686,0.83758,6237
2022.07.29,4:00,0.83759,0.83819,0.83728,0.83754,8265
2022.07.29,8:00,0.83753,0.84038,0.83677,0.83983,20215
2022.07.29,12:00,0.83984,0.84128,0.83877,0.83993,23310
2022.07.29,16:00,0.83992,0.84146,0.83696,0.83783,29776
2022.07.29,20:00,0.83782,0.83978,0.83782,0.83926,9785
2022.08.01,0:00,0.83899,0.83997,0.83848,0.83944,6868
2022.08.01,4:00,0.83943,0.83976,0.83901,0.83914,7423
2022.08.01,8:00,0.83913,0.83984,0.8381,0.83846,14803
2022.08.01,12:00,0.83844,0.83855,0.83539,0.83564,18261
2022.08.01,16:00,0.83564,0.83769,0.83523,0.83672,25869
2022.08.01,20:00,0.83673,0.83757,0.83655,0.83746,12883
2022.08.02,0:00,0.83745,0.83851,0.83667,0.83823,7569
2022.08.02,4:00,0.83822,0.83858,0.83728,0.83845,9848
2022.08.02,8:00,0.83846,0.83989,0.83706,0.83984,18778
2022.08.02,12:00,0.83985,0.83985,0.83525,0.83546,20958
2022.08.02,16:00,0.83545,0.8368,0.83387,0.83457,30726
2022.08.02,20:00,0.83456,0.83636,0.83436,0.8356,13972
2022.08.03,0:00,0.83559,0.83645,0.83499,0.83614,9328
2022.08.03,4:00,0.83613,0.83642,0.83573,0.83618,7788
2022.08.03,8:00,0.83619,0.83675,0.8341,0.83643,16390
2022.08.03,12:00,0.83641,0.83703,0.8351,0.83653,18520
2022.08.03,16:00,0.83652,0.83719,0.83564,0.8358,27784
2022.08.03,20:00,0.83578,0.8373,0.83558,0.83662,12271
2022.08.04,0:00,0.83663,0.83759,0.83583,0.83591,6129
2022.08.04,4:00,0.8359,0.83683,0.8356,0.83605,5889
2022.08.04,8:00,0.83604,0.83792,0.836,0.83765,13543
2022.08.04,12:00,0.83764,0.84278,0.83455,0.84097,25381
2022.08.04,16:00,0.84098,0.84365,0.84029,0.84269,24796
2022.08.04,20:00,0.8427,0.84277,0.84154,0.84235,9552
2022.08.05,0:00,0.84234,0.84318,0.84212,0.84285,6454
2022.08.05,4:00,0.84286,0.84326,0.8425,0.84294,6103
2022.08.05,8:00,0.84293,0.84299,0.84091,0.84172,12428
2022.08.05,12:00,0.84173,0.84447,0.84149,0.84445,19021
2022.08.05,16:00,0.84444,0.84518,0.84246,0.843,26182
2022.08.05,20:00,0.84302,0.84362,0.84235,0.84284,14733
2022.08.08,0:00,0.84299,0.8438,0.84279,0.8431,5929
2022.08.08,4:00,0.84309,0.84347,0.84265,0.84329,5054
2022.08.08,8:00,0.84328,0.8435,0.84122,0.8432,14515
2022.08.08,12:00,0.84318,0.84327,0.84099,0.84128,16363
2022.08.08,16:00,0.84129,0.84438,0.84088,0.84412,18213
2022.08.08,20:00,0.84413,0.84438,0.84354,0.84382,10179
2022.08.09,0:00,0.84384,0.84397,0.84279,0.84369,5643
2022.08.09,4:00,0.84368,0.84419,0.84341,0.84344,4113
2022.08.09,8:00,0.84341,0.84543,0.84326,0.84484,11690
2022.08.09,12:00,0.84483,0.84567,0.84414,0.84545,15344
2022.08.09,16:00,0.84546,0.84605,0.84393,0.84556,18956
2022.08.09,20:00,0.84555,0.846,0.84528,0.84537,8238
2022.08.10,0:00,0.84497,0.84596,0.84475,0.8457,4351
2022.08.10,4:00,0.84571,0.84574,0.84511,0.84511,3582
2022.08.10,8:00,0.84512,0.84592,0.84413,0.84503,10853
2022.08.10,12:00,0.84502,0.84693,0.84387,0.84479,21944
2022.08.10,16:00,0.84478,0.84548,0.84275,0.84288,29460
2022.08.10,20:00,0.84287,0.8434,0.84173,0.84302,14857
2022.08.11,0:00,0.84304,0.84374,0.84237,0.84338,6278
2022.08.11,4:00,0.84337,0.84399,0.84318,0.84342,6353
2022.08.11,8:00,0.84341,0.84513,0.84289,0.84459,15931
2022.08.11,12:00,0.84459,0.8469,0.84452,0.84555,22527
2022.08.11,16:00,0.84556,0.84646,0.8447,0.84493,24957
2022.08.11,20:00,0.84494,0.8465,0.84472,0.84575,12682
2022.08.12,0:00,0.84613,0.84643,0.8456,0.84625,5455
